,id,created_at,date,time,username,name,tweet,language,mentions,photos,replies_count,retweets_count,likes_count,hashtags,link,retweet,video,reply_to,views_count,sentiment
15,1.49668e+18,2022-02-24 04:37:55 GTB Standard Time,2/24/2022,4:37:55,liveuamap,Liveuamap,UNSC on Ukraine just begun  https://t.co/PBwaCj9S5w  https://t.co/k5e9MLAnfT,en,[],['https://pbs.twimg.com/media/FMVCklwWQAEDnNi.jpg'],2,41,94,[],https://twitter.com/Liveuamap/status/1496675730847064064,False,1,[],2350,-1.2825107743552273
16,1.49668e+18,2022-02-24 04:39:22 GTB Standard Time,2/24/2022,4:39:22,liveuamap,Liveuamap,"Secretary-General of UN: Mr. Putin, stop your troops  https://t.co/w4IUZ1haO4",en,[],['https://pbs.twimg.com/media/FMVC-IqXEAAvfRz.jpg'],32,168,530,[],https://twitter.com/Liveuamap/status/1496676094577102848,False,1,[],13250,1.6163188881754629
17,1.49668e+18,2022-02-24 04:45:11 GTB Standard Time,2/24/2022,4:45:11,liveuamap,Liveuamap,Strong statement by Albania: dark hour for international community. Unprovoked Russian aggression  https://t.co/Cdzh2ukbtn,en,[],['https://pbs.twimg.com/media/FMVEKLpXoAgrTsS.jpg'],6,69,244,[],https://twitter.com/Liveuamap/status/1496677557403590657,False,1,[],6100,0.9123333823666779
18,1.49668e+18,2022-02-24 04:48:01 GTB Standard Time,2/24/2022,4:48:01,liveuamap,Liveuamap,"United States: we ask Russia to stop, return your troops to barracks  https://t.co/pPnomNKakB",en,[],['https://pbs.twimg.com/media/FMVEnrsWYAYUelR.jpg'],6,28,92,[],https://twitter.com/Liveuamap/status/1496678271207055368,False,1,[],2300,0.7727867926028102
19,1.49668e+18,2022-02-24 04:50:45 GTB Standard Time,2/24/2022,4:50:45,liveuamap,Liveuamap,Putin in an address declares military operation against Ukraine  https://t.co/dwDJqgeWga  #Ukraine,en,[],[],11,287,313,['ukraine'],https://twitter.com/Liveuamap/status/1496678958561173508,False,0,[],7825,0.15979680337852728
20,1.49668e+18,2022-02-24 04:51:32 GTB Standard Time,2/24/2022,4:51:32,liveuamap,Liveuamap,Again some pseudo-historic narrative  https://t.co/zLz5s56CUn,en,[],['https://pbs.twimg.com/media/FMVFrKmXwAIkBiv.png'],2,35,136,[],https://twitter.com/Liveuamap/status/1496679155626299393,False,1,[],3400,0.8293466912667978
21,1.49668e+18,2022-02-24 04:54:51 GTB Standard Time,2/24/2022,4:54:51,liveuamap,Liveuamap,"Demand Ukrainian military to surrender, threatens ""others"" do not intervene.  Basically declares war  https://t.co/xpcPrRKyPw",en,[],['https://pbs.twimg.com/media/FMVGYhMXoAQnHr2.png'],19,1439,1141,[],https://twitter.com/Liveuamap/status/1496679993128202241,False,1,[],28525,2.3108722361755194
24,1.49668e+18,2022-02-24 05:12:12 GTB Standard Time,2/24/2022,5:12:12,liveuamap,Liveuamap,"Explosions, missiles, and tracers visible on the Kharkiv livecam  https://t.co/A9osb3j8xL via @daanverdant #Ukraine  https://t.co/hSGzpzJY7P",en,"[{'screen_name': 'daanverdant', 'name': 'daan verhoeven', 'id': '258892387'}]",['https://pbs.twimg.com/media/FMVKfYfWYAEqftR.jpg'],3,443,617,['ukraine'],https://twitter.com/Liveuamap/status/1496684355741233155,False,1,[],15425,1.1641036109288199
26,1.49669e+18,2022-02-24 05:21:24 GTB Standard Time,2/24/2022,5:21:24,thestudyofwar,ISW,"NEW #Ukraine Conflict Update: #Russian President Vladimir Putin has announced a special military operation against Ukraine. ISW will resume coverage of this conflict the morning of February 24, 2022.  https://t.co/sF8udAKFLf",en,[],[],2,24,22,"['ukraine', 'russian']",https://twitter.com/TheStudyofWar/status/1496686673249415170,False,0,[],550,2.4717373554143416
27,1.49669e+18,2022-02-24 05:28:45 GTB Standard Time,2/24/2022,5:28:45,liveuamap,Liveuamap,"New statement from Biden: ""President Putin has chosen a premeditated war that will bring a catastrophic loss of life and human suffering. Russia alone is responsible for the death and destruction this attack will bring""  https://t.co/c8qMGsac85 via @NatashaBertrand #Ukraine  https://t.co/a9hv6NuVw8",en,"[{'screen_name': 'natashabertrand', 'name': 'natasha bertrand', 'id': '372536101'}]",['https://pbs.twimg.com/media/FMVOR6nWYAIQ7dD.jpg'],12,167,310,['ukraine'],https://twitter.com/Liveuamap/status/1496688523109404673,False,1,[],7750,2.5619836537154677
28,1.49669e+18,2022-02-24 05:39:00 GTB Standard Time,2/24/2022,5:39:00,liveuamap,Liveuamap,Putin and Lukashenka had a phone call  https://t.co/sdJXJGaM6l  #Ukraine,en,[],[],2,36,77,['ukraine'],https://twitter.com/Liveuamap/status/1496691101268328448,False,0,[],1925,0.011717114633729047
30,1.49669e+18,2022-02-24 05:52:58 GTB Standard Time,2/24/2022,5:52:58,liveuamap,Liveuamap,"Russia targeted key Ukrainian airfields east to line Kyiv-Odesa with tactical missiles, and now reports about aviation  https://t.co/wULQTmzGi3",en,[],['https://pbs.twimg.com/media/FMVTp8VWYAkokFZ.jpg'],29,1180,1844,[],https://twitter.com/Liveuamap/status/1496694617307242497,False,1,[],46100,1.4155810531489348
31,1.4967e+18,2022-02-24 06:01:13 GTB Standard Time,2/24/2022,6:01:13,liveuamap,Liveuamap,Ukraine's ambassador: Russia has declared war and the UN Security Council must stop it  https://t.co/Wr6RFWg61H via @AlArabiya_Brk #Ukraine,en,"[{'screen_name': 'alarabiya_brk', 'name': '??????? ????', 'id': '23573083'}]",[],7,48,126,['ukraine'],https://twitter.com/Liveuamap/status/1496696692447625225,False,0,[],3150,-0.0041558324249940624
32,1.4967e+18,2022-02-24 06:04:44 GTB Standard Time,2/24/2022,6:04:44,liveuamap,Liveuamap,Ukraine FM Kuleba: Putin has just launched a full-scale invasion of Ukraine. Peaceful Ukrainian cities are under strikes. This is a war of aggression  https://t.co/nvA4gdNyoE via @DmytroKuleba #Ukraine,en,"[{'screen_name': 'dmytrokuleba', 'name': 'dmytro kuleba', 'id': '2885493519'}]",[],7,106,183,['ukraine'],https://twitter.com/Liveuamap/status/1496697577387008002,False,0,[],4575,3.3074951122873757
33,1.4967e+18,2022-02-24 06:17:31 GTB Standard Time,2/24/2022,6:17:31,liveuamap,Liveuamap,Attacks targeted Sumy  https://t.co/ZYtOWasbS8,en,[],[],53,1239,2100,[],https://twitter.com/Liveuamap/status/1496700793159835649,False,1,[],52500,-0.15840085269845422
35,1.49672e+18,2022-02-24 07:16:42 GTB Standard Time,2/24/2022,7:16:42,liveuamap,Liveuamap,"Website is partially down, application is less down.",en,[],[],18,75,435,[],https://twitter.com/Liveuamap/status/1496715688123248642,False,0,[],10875,0.6685814715968585
36,1.49672e+18,2022-02-24 07:19:50 GTB Standard Time,2/24/2022,7:19:50,liveuamap,Liveuamap,From White House: a readout of Biden's call with Zelensky  https://t.co/hw7ISp6hna via @adegrandpre #Ukraine  https://t.co/63bNz1Bod4,en,"[{'screen_name': 'adegrandpre', 'name': 'andrew degrandpré', 'id': '252764352'}]",['https://pbs.twimg.com/media/FMVntJTXEAEF0d4.jpg'],3,36,86,['ukraine'],https://twitter.com/Liveuamap/status/1496716478133018627,False,1,[],2150,1.46073091619333
37,1.49672e+18,2022-02-24 07:22:39 GTB Standard Time,2/24/2022,7:22:39,liveuamap,Liveuamap,"President of Poland @andrzejduda: Despite the efforts of the international comm, Ukraine fell victim to the brutal,unprovoked &amp; unjustified Russian attack  https://t.co/mFcghCxkHa via @KarolDarmoros",en,"[{'screen_name': 'andrzejduda', 'name': 'andrzej duda', 'id': '202086424'}, {'screen_name': 'karoldarmoros', 'name': 'karol darmoros ????', 'id': '294059928'}]",[],1,59,157,[],https://twitter.com/Liveuamap/status/1496717185540100100,False,0,[],3925,7.387115397684138
38,1.49672e+18,2022-02-24 07:29:24 GTB Standard Time,2/24/2022,7:29:24,liveuamap,Liveuamap,Both Russia and Belarus has been blocked from website,en,[],[],10,48,505,[],https://twitter.com/Liveuamap/status/1496718883734134786,False,0,[],12625,1.1868291975635417
39,1.49672e+18,2022-02-24 07:30:57 GTB Standard Time,2/24/2022,7:30:57,liveuamap,Liveuamap,"Information about landings - false, Russia targeted airports, and some strikes failed",en,[],[],8,138,496,[],https://twitter.com/Liveuamap/status/1496719273577824256,False,0,[],12400,1.8095990059707707
41,1.49672e+18,2022-02-24 07:41:39 GTB Standard Time,2/24/2022,7:41:39,liveuamap,Liveuamap,"Ukraine under attack along Russia, Belarus borders: border guards  https://t.co/T7TPcvsGek via @AFP #Ukraine",en,"[{'screen_name': 'afp', 'name': 'afp news agency', 'id': '380648579'}]",[],4,76,129,['ukraine'],https://twitter.com/Liveuamap/status/1496721966476271621,False,0,[],3225,1.996593062413389
42,1.49672e+18,2022-02-24 07:41:53 GTB Standard Time,2/24/2022,7:41:53,liveuamap,Liveuamap,The President of Belarus gave orders to his army to integrate and cooperate with the Russian army in the invasion of Ukraine  https://t.co/Lk3d9nnxot via @AlArabiya_Brk #Belarus,en,"[{'screen_name': 'alarabiya_brk', 'name': '??????? ????', 'id': '23573083'}]",[],54,619,870,['belarus'],https://twitter.com/Liveuamap/status/1496722024709988354,False,0,[],21750,4.053045966022894
43,1.49672e+18,2022-02-24 07:43:57 GTB Standard Time,2/24/2022,7:43:57,liveuamap,Liveuamap,".@SecBlinken &amp; @SecDef spoke with NATO Secretary General @jensstoltenberg ""to condemn Russia's premeditated, unprovoked, and unjustified attack on Ukraine and discuss the Alliance's coordinated response  https://t.co/Iv1jCNvRjs via @jmhansler  https://t.co/ThSbgqRRzn",en,"[{'screen_name': 'secblinken', 'name': 'secretary antony blinken', 'id': '1350150750966603777'}, {'screen_name': 'secdef', 'name': 'secretary of defense lloyd j. austin iii', 'id': '1338994562090602497'}, {'screen_name': 'jensstoltenberg', 'name': 'jens stoltenberg', 'id': '20796069'}, {'screen_name': 'jmhansler', 'name': 'jennifer hansler', 'id': '470444339'}]",['https://pbs.twimg.com/media/FMVtOW0XwAAolZC.jpg'],3,44,105,[],https://twitter.com/Liveuamap/status/1496722546108121089,False,1,[],2625,3.487686147096576
45,1.49673e+18,2022-02-24 07:56:47 GTB Standard Time,2/24/2022,7:56:47,liveuamap,Liveuamap,"Air Raid sirens begin in Lviv, Ukraine  https://t.co/hVlLpyZPXZ   https://t.co/2t8i1RJz0P via @LucasFoxNews #Ukraine",en,"[{'screen_name': 'lucasfoxnews', 'name': 'lucas tomlinson', 'id': '1176004076'}]",[],4,74,150,['ukraine'],https://twitter.com/Liveuamap/status/1496725777911627777,False,1,[],3750,-0.7349791029007969
46,1.49673e+18,2022-02-24 07:57:02 GTB Standard Time,2/24/2022,7:57:02,liveuamap,Liveuamap,Tank column entered Ukraine from Belarus  https://t.co/tpAeeX8Ank  https://t.co/x6x85IGbEc via @lukasztargonski #Ukraine,en,"[{'screen_name': 'lukasztargonski', 'name': '?ukasz targo?ski', 'id': '1385376666'}]",[],11,187,345,['ukraine'],https://twitter.com/Liveuamap/status/1496725838733135873,False,1,[],8625,1.7311550210642355
47,1.49673e+18,2022-02-24 08:03:28 GTB Standard Time,2/24/2022,8:03:28,liveuamap,Liveuamap,"Ukrainian military says it shot down 5 Russian planes and Russian helicopter in Eastern Ukraine, Luhansk  https://t.co/GSHeTymJXq via @ragipsoylu #Ukraine  https://t.co/IdiK6NNIKd",en,"[{'screen_name': 'ragipsoylu', 'name': 'rag?p soylu', 'id': '146958450'}]",['https://pbs.twimg.com/media/FMVxsPwXwAEyGAb.jpg'],18,128,457,['ukraine'],https://twitter.com/Liveuamap/status/1496727458456178690,False,1,[],11425,-0.31270221019344724
56,1.49674e+18,2022-02-24 08:50:14 GTB Standard Time,2/24/2022,8:50:14,liveuamap,Liveuamap,"Missile targeted street in Uman', Cherkasy region  https://t.co/qyogithLtz via @ua_industrial #Ukraine  https://t.co/2hClYL6WWp",en,"[{'screen_name': 'ua_industrial', 'name': '??????????? ??????', 'id': '435239369'}]","['https://pbs.twimg.com/media/FMV8ZQwX0AAfw_o.jpg', 'https://pbs.twimg.com/media/FMV8ZaiXwAQw_gc.jpg']",7,92,195,['ukraine'],https://twitter.com/Liveuamap/status/1496739229040537603,False,1,[],4875,0.17619785515619013
57,1.49674e+18,2022-02-24 08:50:30 GTB Standard Time,2/24/2022,8:50:30,liveuamap,Liveuamap,"One killed, one more wounded as result of missile attack on Brovary of Kyiv region  https://t.co/7eZ1NeTrFN via @AlchevskUA #Ukraine",en,"[{'screen_name': 'alchevskua', 'name': '???????? ua????', 'id': '2658989478'}]",[],13,96,203,['ukraine'],https://twitter.com/Liveuamap/status/1496739292621983744,False,0,[],5075,2.0883805846378825
60,1.49675e+18,2022-02-24 09:30:37 GTB Standard Time,2/24/2022,9:30:37,hannaliubakova,Hanna Liubakova,The National Police of #Ukraine reports a breakthrough of Russian troops deep into the Chernihiv and Kharkiv regions. The Ministry of Internal Affairs of Ukraine reports that Russia is attacking the borders along almost the entire perimeter using artillery and heavy equipment.  https://t.co/vE1EOfhEVM,en,[],[],8,195,405,['ukraine'],https://twitter.com/HannaLiubakova/status/1496749389821485059,False,1,[],10125,5.301382926493462
62,1.49675e+18,2022-02-24 09:45:17 GTB Standard Time,2/24/2022,9:45:17,hannaliubakova,Hanna Liubakova,"Putin and Lukashenko had a telephone conversation at about 5 am today,"" during which Lukashenko was informed about the situation on the border and in Donbas"", as reported by the regime. Lukashenko is an accomplice in this disgraceful war. He is now holding a meeting with the army  https://t.co/2RQUVWc37u",en,[],['https://pbs.twimg.com/media/FMWI457XEAE685o.jpg'],9,85,304,[],https://twitter.com/HannaLiubakova/status/1496753079194107904,False,1,[],7600,1.4688304385987458
64,1.49676e+18,2022-02-24 10:20:21 GTB Standard Time,2/24/2022,10:20:21,hannaliubakova,Hanna Liubakova,The Ministry of Internal Affairs of Ukraine has published pictures of the border service facilities in the Kyiv region that were shot by Russian troops. Kyiv region borders only with #Belarus  https://t.co/hyWNqx9Wy7,en,[],"['https://pbs.twimg.com/media/FMWQtlNXMAUjmdT.jpg', 'https://pbs.twimg.com/media/FMWQtltXsAM5iVf.jpg', 'https://pbs.twimg.com/media/FMWQtryXwAA8UBm.jpg', 'https://pbs.twimg.com/media/FMWQtsOWQAE0hr0.jpg']",28,1399,2080,['belarus'],https://twitter.com/HannaLiubakova/status/1496761904844451849,False,1,[],52000,3.6372097894147375
65,1.49676e+18,2022-02-24 10:29:57 GTB Standard Time,2/24/2022,10:29:57,hannaliubakova,Hanna Liubakova,"Lukashenko denied the participation of the Belarusian army in ""the Russian special operation in Donbas,"" as he said. However,his role was crucial in supporting Russia in launching a war against Ukraine. Russian troops came from the territory of #Belarus. It is already aggression  https://t.co/tb9zCH2JLh",en,[],[],26,288,835,['belarus'],https://twitter.com/HannaLiubakova/status/1496764320134275074,False,1,[],20875,5.364469855522966
66,1.49676e+18,2022-02-24 10:30:29 GTB Standard Time,2/24/2022,10:30:29,liveuamap,Liveuamap,President Zelensky declared martial law in Ukraine  https://t.co/brgwTDUljv  https://t.co/n1nz2Ff9es via @radiosvoboda,en,"[{'screen_name': 'radiosvoboda', 'name': '????? ???????', 'id': '17718831'}]",[],12,129,426,[],https://twitter.com/Liveuamap/status/1496764457758105601,False,1,[],10650,1.1730724960601624
67,1.49677e+18,2022-02-24 10:33:46 GTB Standard Time,2/24/2022,10:33:46,hannaliubakova,Hanna Liubakova,"Ukrainian State Border Service reported that from the territory of #Belarus (!), an unmarked helicopter shot at the bridge in front of the Slavutych checkpoint.   It is absolutely scary to know that Lukashenko is using Belarus for attacking Ukraine",en,[],[],10,118,380,['belarus'],https://twitter.com/HannaLiubakova/status/1496765280692752391,False,0,[],9500,5.157970161573609
68,1.49677e+18,2022-02-24 10:47:36 GTB Standard Time,2/24/2022,10:47:36,liveuamap,Liveuamap,"The Prime Minister Johnson is chairing a emergency COBR meeting to decide the UK's response to the ""horrific attacks"" by Russia  https://t.co/Nb6JNJ3P4l via @politicshome #Ukraine",en,"[{'screen_name': 'politicshome', 'name': 'politicshome', 'id': '16558943'}]",[],12,53,169,['ukraine'],https://twitter.com/Liveuamap/status/1496768765287350272,False,0,[],4225,-0.3679975571006633
70,1.49677e+18,2022-02-24 11:07:45 GTB Standard Time,2/24/2022,11:07:45,kylejglen,Kyle Glen,Smoke is still rising over the city of Odessa in Ukraine. There are unconfirmed reports of additional missile impacts in the city.  https://t.co/bcgCvtBrDN,en,[],[],5,180,361,[],https://twitter.com/KyleJGlen/status/1496773833839230977,False,1,[],9025,0.12244353031452639
71,1.49678e+18,2022-02-24 11:14:40 GTB Standard Time,2/24/2022,11:14:40,kylejglen,Kyle Glen,@GissiSim All quiet for now.,en,[],[],0,1,1,[],https://twitter.com/KyleJGlen/status/1496775576010510339,False,0,"[{'screen_name': 'GissiSim', 'name': 'Gissur Simonarson ??????????\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', 'id': '6754922'}]",25,1.0210552371524042
72,1.49678e+18,2022-02-24 11:17:01 GTB Standard Time,2/24/2022,11:17:01,liveuamap,Liveuamap,"Battles reportedly ongoing on roads near Kharkiv, number of armoured vehicles destroyed  https://t.co/vpdZ9jgQd0  https://t.co/v6mBUEy5jI via @ELINTNews #Ukraine",en,"[{'screen_name': 'elintnews', 'name': 'elint news', 'id': '841694471293173760'}]",[],31,337,828,['ukraine'],https://twitter.com/Liveuamap/status/1496776164471451649,False,1,[],20700,0.7366276937961393
73,1.49678e+18,2022-02-24 11:25:39 GTB Standard Time,2/24/2022,11:25:39,kylejglen,Kyle Glen,Person filming this video (@bura_tinko) claims that these are Russian vehicles being destroyed on the outskirts of Kharkiv this morning.  https://t.co/bODtKigKDn,en,"[{'screen_name': 'bura_tinko', 'name': 'chipollino', 'id': '363622174'}]",[],0,42,118,[],https://twitter.com/KyleJGlen/status/1496778337997537281,False,1,[],2950,1.5477804287718244
74,1.49678e+18,2022-02-24 11:26:01 GTB Standard Time,2/24/2022,11:26:01,hannaliubakova,Hanna Liubakova,"Ukrainian agency UNIAN writes about the participation of the Belarusian Air Defense in the destruction of the infrastructure of the Armed Forces of #Ukraine. Reportedly, the launch of missiles from the territory of the Mahiliou region was registered #Belarus",en,[],[],2,66,128,"['ukraine', 'belarus']",https://twitter.com/HannaLiubakova/status/1496778432650358785,False,0,[],3200,4.4732337885676525
76,1.49678e+18,2022-02-24 11:34:16 GTB Standard Time,2/24/2022,11:34:16,hannaliubakova,Hanna Liubakova,#Ukraine breaks off diplomatic relations with Russia  https://t.co/O4wTWDpbf0,en,[],[],12,73,270,['ukraine'],https://twitter.com/HannaLiubakova/status/1496780505915613186,False,1,[],6750,0.7293943196303102
77,1.49678e+18,2022-02-24 11:34:50 GTB Standard Time,2/24/2022,11:34:50,liveuamap,Liveuamap,"Ukraine has severed diplomatic relations with Russia, - Zelensky  https://t.co/dIL87zGFjt via @prm_ua #Ukraine",en,"[{'screen_name': 'prm_ua', 'name': '????????? ""??????""', 'id': '900430954610774018'}]",[],21,239,591,['ukraine'],https://twitter.com/Liveuamap/status/1496780651856801797,False,0,[],14775,1.3999181099337084
79,1.49679e+18,2022-02-24 11:57:15 GTB Standard Time,2/24/2022,11:57:15,hannaliubakova,Hanna Liubakova,"Lukashenko has just said that Belarusian troops will be in Ukraine ""if necessary"".The illegal regime has no right to decide on behalf of Belarusians and participate in an armed attack on another country. The international community must respond accordingly. Lukashenko is a threat  https://t.co/iKpB38sFYN",en,[],['https://pbs.twimg.com/media/FMWnKkUX0AIixqz.jpg'],30,236,1021,[],https://twitter.com/HannaLiubakova/status/1496786293463859201,False,1,[],25525,3.3690591440694915
81,1.49679e+18,2022-02-24 12:23:56 GTB Standard Time,2/24/2022,12:23:56,kylejglen,Kyle Glen,"Ukrainian MoD statement to the people of Ukraine: ""Russian troops invaded our land, kill the occupiers!""   The MoD provides further details on how to join the territorial defence.  https://t.co/CmTmL4GFE4",en,[],['https://pbs.twimg.com/media/FMWtTmuWYAEzsCO.jpg'],8,126,313,[],https://twitter.com/KyleJGlen/status/1496793006946467841,False,1,[],7825,5.212407667383352
82,1.49679e+18,2022-02-24 12:24:27 GTB Standard Time,2/24/2022,12:24:27,hannaliubakova,Hanna Liubakova,"Video evidence of a likely attack from the territory of #Belarus, near Kalinkovichi.  Reportedly from that point, 22 helicopters flew towards #Ukraine.  This information needs verification.  https://t.co/uSTwjkaMim",en,[],[],3,47,91,"['belarus', 'ukraine']",https://twitter.com/HannaLiubakova/status/1496793138161139719,False,1,[],2275,6.129799848572189
83,1.49679e+18,2022-02-24 12:27:35 GTB Standard Time,2/24/2022,12:27:35,hannaliubakova,Hanna Liubakova,"#Ukraine A powerful explosion near Kyiv. According to preliminary information, Russian missiles attacked a military facility in Brovary  https://t.co/QjZqWpRoQc",en,[],[],7,83,181,['ukraine'],https://twitter.com/HannaLiubakova/status/1496793925088161793,False,1,[],4525,3.9251400853214795
84,1.49679e+18,2022-02-24 12:30:16 GTB Standard Time,2/24/2022,12:30:16,liveuamap,Liveuamap,President Zelensky asking Verkhovna Rada to declare full mobilization  https://t.co/EhwCmPkwRK  #Ukraine,en,[],[],21,184,530,['ukraine'],https://twitter.com/Liveuamap/status/1496794599003926531,False,0,[],13250,1.587059144712351
